3391.67,4481.27,4063.8,4113.74,4601.74,3946.73,4455.93,4196.21,4188.05,4411.81,4430.9,4169.73,3992.94,4102.14,0|bag
3380.27,4467.63,4046.02,4099.24,4584.58,3933.28,4440.45,4179.34,4171.79,4398.9,4412.69,4152.7,3976.47,4085.16,0|bag
3381.06,4477.42,4057.95,4111.01,4592.96,3942.49,4452.25,4191,4182.97,4404.02,4418.82,4162.43,3975.79,4088.91,0|bag
3386.68,4485.74,4072.69,4121.56,4603.31,3950.88,4462.76,4203.97,4194.63,4407.11,4429.76,4174.46,3984.15,4099.05,0|bag
3390.03,4484.27,4069.48,4118.67,4604.68,3950.18,4460.71,4201.44,4192.98,4412.49,4432.94,4173.95,3990.87,4102.76,0|bag
3395.13,4487.49,4071.9,4121.26,4611.91,3954.61,4464.64,4204.67,4197.34,4423.96,4441.72,4179.22,4000.63,4110.73,0|bag
3393.63,4487.21,4076.06,4122.44,4608.87,3953.04,4464.31,4206.81,4197.45,4412.14,4438,4179.02,3996.25,4108.15,0|bag
3388.04,4486.6,4070.65,4120.59,4600.43,3949.38,4461.22,4201.98,4191.98,4402.7,4425.78,4171.45,3982.13,4096.52,0|bag
3384.62,4485.13,4063.81,4118.41,4600.89,3949.84,4460.54,4197.8,4190.42,4414.32,4425.78,4169.3,3979.97,4094.24,0|bag
3388.45,4488.9,4070.26,4122.98,4607.19,3954.26,4465.53,4203.73,4196.2,4419.08,4433.09,4175.67,3986.82,4101.03,0|bag
3391.61,4492.83,4076.56,4126.76,4606.89,3955.18,4467.89,4208.16,4198.27,4409.22,4431.75,4177.49,3986.38,4101.56,0|bag
3382.24,4483.15,4067.41,4119,4600.94,3949.4,4460.69,4200.05,4192.01,4410.42,4426.69,4171.21,3979.18,4094.71,0|bag
3373.59,4476.47,4062.45,4115.28,4599.98,3947.7,4458.13,4196.36,4190.67,4417.77,4426.73,4169.75,3974.62,4091.48,0|bag
3368.87,4475.37,4064.73,4115.69,4593.31,3944.47,4456.46,4196.71,4188.7,4401.56,4417.9,4166.59,3963.74,4083.8,0|bag
3367.53,4474.03,4064.3,4114.81,4591.85,3943.32,4455.34,4195.98,4187.78,4399.19,4416.46,4165.64,3962.09,4082.44,0|bag
3376.46,4481.72,4065.97,4120.64,4609.31,3954.84,4465.28,4201.53,4197.75,4434.21,4436.54,4176.89,3981.76,4098.69,0|bag
3379.18,4480.88,4065.65,4120.31,4616.76,3958,4467.06,4202.49,4201.06,4450.19,4447.13,4181.73,3992.94,4107.36,0|bag
3364.21,4463.62,4058.07,4108.08,4601.05,3944.26,4452.79,4192.29,4189.6,4428.02,4432.8,4170.56,3977.27,4093.63,0|bag
3361.76,4471.64,4062.63,4116.77,4606.92,3952.06,4462.24,4198.65,4197.16,4438.46,4435.33,4175.89,3972.05,4092.75,0|bag
3367.45,4483.99,4063.77,4125.77,4619.06,3963.67,4473.91,4204.06,4205.76,4464.69,4445.1,4183.09,3978.19,4099.18,0|bag
3358.1,4466.62,4050.17,4109.45,4601.64,3947.67,4455.85,4188.78,4189.47,4443.75,4429.61,4167.83,3967.61,4086.58,0|bag
3355.96,4462.12,4056.12,4108.43,4597.87,3943.72,4452.96,4191.09,4189.06,4427.21,4427.38,4168.32,3965.94,4086.01,0|bag
3364.63,4476.43,4069.53,4122.85,4615.56,3958.53,4469.35,4205.76,4204.98,4448.71,4444.81,4184.03,3979,4100.34,0|bag
3365.15,4479.47,4071.96,4126.2,4619.48,3962.09,4473.3,4208.82,4208.68,4454.89,4448.34,4187.39,3980.36,4102.56,0|bag
3360.6,4468.78,4067.5,4117.03,4608.35,3951.65,4462.22,4201.69,4199.49,4435.21,4438.92,4179.27,3974.91,4096.03,0|bag
3355.78,4456.05,4058.73,4105.84,4601.88,3942.98,4451.28,4192.44,4191.11,4431.67,4436.16,4172.74,3975.59,4093.78,0|bag
3350.7,4453.47,4060.56,4107.08,4607.08,3945.84,4454,4194.97,4195.73,4443.21,4443.11,4177.69,3977.12,4096.91,0|bag
3347.17,4456.34,4068.2,4113.28,4610.85,3950.11,4460.04,4201.89,4202.37,4444.11,4445.95,4183.44,3973.74,4097.46,0|bag
3348.64,4456.17,4064.91,4111.7,4611.42,3950.05,4459.13,4199.65,4201.04,4449.02,4446.87,4182.36,3976.18,4098.38,0|bag
3343.77,4444.26,4047.4,4097.6,4601.44,3939.95,4445.74,4184.1,4187.6,4449.31,4438.44,4169.71,3972.6,4090.82,0|bag
